Conditions,Growth Time,R2s,Type,Glucose r2,Mgso4 r2,Nacl r2,Similarity to mgso4_400_7.2,Concentration,Similarity to glucose_4,Batch
glucose_5.2,5,-0.468489659,glucose,-0.468489659,#N/A,#N/A,20280.58546,#N/A,11003.30491,7
glucose_6.3,6,-0.477999908,glucose,-0.477999908,#N/A,#N/A,20003.5896,#N/A,10948.85327,7
glucose_8.2,8,-0.328241618,glucose,-0.328241618,#N/A,#N/A,42788.87404,#N/A,38706.89685,7
glucose_24.2,24,-0.257244161,glucose,-0.257244161,#N/A,#N/A,49700.98784,#N/A,47485.30326,7
glucose_48.2,48,-0.236033217,glucose,-0.236033217,#N/A,#N/A,50212.04629,#N/A,48461.59723,7
glucose_168.2,168,-0.249826175,glucose,-0.249826175,#N/A,#N/A,47098.60883,#N/A,45225.07715,7
glucose_336.2,336,-0.367246768,glucose,-0.367246768,#N/A,#N/A,36438.79418,#N/A,34032.02183,7
mgso4_0.08_5.5,5.5,-0.384808058,mgso4,#N/A,-0.384808058,#N/A,33753.18321,0.08,28519.06576,22
glucose_5.5.2,5.5,-0.389171418,mgso4,-0.389171418,#N/A,#N/A,33250.15106,0.8,27951.30885,22
mgso4_8_5.5,5.5,-0.400633265,mgso4,#N/A,-0.400633265,#N/A,32577.47681,8,28082.3936,22
mgso4_50_5,5,-0.37101305,mgso4,#N/A,-0.37101305,#N/A,34795.90584,50,30371.15319,22
mgso4_200_5,5,-0.421424643,mgso4,#N/A,-0.421424643,#N/A,28952.20105,200,24648.57874,22
mgso4_400_7,7,-0.477172908,mgso4,#N/A,-0.477172908,#N/A,21956.46962,400,20456.98444,22
mgso4_0.08_28,28,-0.345863381,mgso4,#N/A,-0.345863381,#N/A,43158.33929,0.08,41038.70707,22
glucose_28.1,28,-0.301692991,mgso4,-0.301692991,#N/A,#N/A,44889.94355,0.8,43303.18917,22
mgso4_8_28,28,-0.314968463,mgso4,#N/A,-0.314968463,#N/A,46138.53115,8,44181.88325,22
mgso4_50_28,28,-0.275518236,mgso4,#N/A,-0.275518236,#N/A,48215.33145,50,46865.44125,22
mgso4_200_28,28,-0.369965723,mgso4,#N/A,-0.369965723,#N/A,39338.88572,200,38319.06054,22
mgso4_400_28,28,-0.442029849,mgso4,#N/A,-0.442029849,#N/A,29801.07371,400,29747.33766,22
mgso4_0.08_5.5.1,5.5,-0.364054633,mgso4,#N/A,-0.364054633,#N/A,36125.03646,0.08,31593.53314,23
glucose_5.5.3,5.5,-0.351895328,mgso4,-0.351895328,#N/A,#N/A,35691.42683,0.8,31293.80181,23
mgso4_8_5.5.1,5.5,-0.345813031,mgso4,#N/A,-0.345813031,#N/A,35676.50229,8,31431.80334,23
mgso4_50_5.1,5,-0.357881802,mgso4,#N/A,-0.357881802,#N/A,34245.29671,50,30307.78747,23
mgso4_200_5.1,5,-0.395450987,mgso4,#N/A,-0.395450987,#N/A,31408.74888,200,27399.61914,23
mgso4_400_7.1,7,-0.475480117,mgso4,#N/A,-0.475480117,#N/A,22556.82351,400,23695.50748,23
mgso4_0.08_28.1,28,-0.32420932,mgso4,#N/A,-0.32420932,#N/A,45546.78306,0.08,44008.74355,23
glucose_28.2,28,-0.281162148,mgso4,-0.281162148,#N/A,#N/A,49575.52558,0.8,47840.28041,23
mgso4_8_28.1,28,-0.271507154,mgso4,#N/A,-0.271507154,#N/A,48487.93961,8,46978.827,23
mgso4_50_28.1,28,-0.311468072,mgso4,#N/A,-0.311468072,#N/A,45508.27613,50,43764.65718,23
mgso4_200_28.1,28,-0.390612216,mgso4,#N/A,-0.390612216,#N/A,35654.46975,200,34872.64005,23
mgso4_400_28.1,28,-0.461757719,mgso4,#N/A,-0.461757719,#N/A,27205.40478,400,27663.79274,23
mgso4_0.08_5.5.2,5.5,-0.310866491,mgso4,#N/A,-0.310866491,#N/A,42534.09345,0.08,42055.25127,24
