Gene Name,Dextrose_exp_1,Dextrose_exp_2,Dextrose_sta_1,Dextrose_sta_2,Dextrose_nrp1_1,Dextrose_nrp1_2,Lipid_exp_1,Lipid_exp_2,Lipid_sta_1,Lipid_sta_2,Lipid_nrp1_1,Lipid_nrp1_2
ephC,33.73372095,42.41854084,9.364723051,10.47975938,20.01304489,11.65100271,20.80298281,18.802203,4.046767472,3.563575903,6.597309591,7.310919539
Rv1125,17.68757007,21.3668596,3.481451304,4.47398418,7.784709916,4.418056217,5.02791769,4.402272397,1.165728514,1.413664844,2.909648201,3.527923492
Rv1126c,62.70638473,61.7555865,8.102426214,8.532114084,29.08633279,11.03569958,22.04682838,20.09383619,10.76376312,7.322572453,11.89385897,19.71720367
ppdK,71.43829021,77.71552428,15.9082737,15.04110716,46.10935035,23.66785775,38.46898844,34.53161601,9.631485391,7.385184358,16.16276067,32.80034774
Rv1128c,21.26088041,21.67277329,7.516687804,6.889232555,11.79517051,4.581690533,6.442206319,7.260805558,3.51155865,2.098803859,9.10227336,11.72842577
Rv1129c,9.551558968,11.95378498,56.11310232,60.52181987,42.12283337,17.03672912,0.623500933,0.628066309,0.401817687,1.294372011,113.8002037,94.17969897
prpD,31.4653133,38.85736561,184.7983006,207.0762836,246.4973812,99.66786944,3.811628389,5.411793474,6.694059856,12.0204888,892.7247952,591.1547453
prpC,35.05507922,43.77784005,71.30617271,76.15987775,167.7737971,36.62567474,2.015604931,2.811520868,6.194491037,8.078684638,619.1230494,236.5886585
Rv1132,34.49705047,35.99557429,6.749035832,6.551152625,21.94655415,5.28081193,12.18465955,15.51620033,1.610926801,2.46618547,51.91906921,27.86345843
metE,635.2715353,682.5517554,56.88314941,66.79443499,256.4723048,97.64514837,587.4054672,589.264185,71.24343611,120.2905304,44.18396703,63.20705256
Miotto_candidate_154,0,0,0,0,0,0,0,0,0,0,0,0
IGR266_Rodriguez_Rv1133c-Rv1134,1181.576648,1299.218739,85.68626725,87.51441675,699.0119532,362.9821905,903.3195868,893.4081554,86.21734976,134.5270382,139.2050669,135.2307616
Miotto_candidate_155,0,0,0,0,0,0,0,0,0,0,0,0
Miotto_candidate_156,0,0,0,0,0,0,0,0,0,0,0,0
Rv1134,4.917544867,4.648335449,2.428959548,1.897068844,2.860486477,0.834848069,2.56240468,1.255702878,1.032095008,1.580045544,1.260607077,1.844492965
PPE16,2.840727815,3.646710378,2.297620768,2.555645607,40.60391493,15.68381459,2.465283588,1.776207611,0.81667227,0.967937432,5.158382774,2.869684262
IGR267_Rodriguez_Rv1135c-Rv1135A,0.300685793,1.588315314,0.663971641,0.24488307,0.492327738,0,0.228993178,0,0.159873541,0.183564115,0,0.612247665
IGR268_Rodriguez_Rv1135c-Rv1135A,6.709051756,6.480326479,1.693127685,3.746710967,114.8723694,38.08785604,4.087528234,4.34002307,1.121113203,1.053199108,10.73682684,3.772976235
Rv1138a,0.908739285,1.120056429,0.836112437,1.171810838,0.867955567,1.172497733,0.057672356,0.122469787,0.120793342,0.138692887,0.461055366,0.719579972
Rv1138c,15.04848131,16.9813865,7.025564237,4.838427142,13.57895088,6.536934264,5.626882525,6.340250026,3.720007337,2.540657303,5.06752889,6.7341223
Rv1139c,24.48698673,26.19293637,10.61161862,10.91855891,32.02488752,17.45582329,11.37561322,11.13778376,4.882365607,5.418988533,8.423233064,7.645152477
IGR269_Rodriguez_Rv1139c-Rv1140,7.30858404,10.75458437,5.331551007,6.058511351,13.46254486,5.725281483,3.876318569,3.377039228,1.804189912,1.195119555,1.509711082,4.163284121
IGR270_Rodriguez_Rv1139c-Rv1140,6.133990177,5.508277508,2.709004296,0.999122925,10.294573,0.79143597,3.737168671,2.480013183,0.163071011,0.187235397,0.933637116,4.995940945
Miotto_candidate_1135,0,0,0,0,0,0,0,0,0,0,0,0
Rv1140,110.5779972,116.1726372,4.985652782,5.03091932,63.82167982,32.62692455,38.98386342,35.9879416,5.992715609,6.770467238,11.32681071,37.88147212
echA11,29.41578932,29.75168477,4.699635705,5.54036566,27.2555564,13.58288498,7.206900551,6.97599743,1.838842878,2.343342638,7.057232229,7.764241142
echA10,159.8105867,196.6983855,23.91778885,23.64714729,69.25898235,43.20043924,168.4504466,149.9378478,10.08332523,13.85124312,27.0720056,37.9441818
mcr,21.35285592,20.28467845,11.19371581,9.98661649,17.50422857,9.609771932,7.138751328,6.824043662,0.707695063,1.227489675,3.362128119,6.054637572
Rv1144,28.59270321,32.57375262,12.95141496,11.70950838,15.17193248,6.989441167,14.67198524,12.9434951,1.234402077,1.815163874,3.81886098,8.680419747
IGR271_Rodriguez_Rv1144-Rv1145,654.3781957,556.8179685,48.28022361,39.18129116,754.4570919,218.8087681,376.0722255,292.738811,180.8398133,146.4317166,8.421040656,69.85454309
Rv1145,9.012661005,8.135936205,5.866538908,5.641977041,6.717682422,3.601380783,3.534328924,2.528960812,1.251641534,2.053019703,1.699383347,3.834603796
Rv1146,9.37680027,10.18140466,2.875800738,3.81830417,6.148347672,3.136618139,3.520952437,3.264560878,0.588579022,0.755302026,1.691515228,3.211592139
Rv1147,6.689912482,7.71467438,3.016940268,3.606664935,2.699861788,0.972578765,3.731428013,3.238112451,0.651282073,1.064164314,0.83181187,2.717965824
IGR272_Rodriguez_Rv1147-Rv1148c,37.83738506,34.51478234,99.65528709,82.1968656,115.3090427,63.33638399,12.18641958,10.17614105,14.31302626,17.7568352,20.34720019,34.56204617
Miotto_candidate_157,0,0,0,0,0,0,0,0,0,0,0,0
IGR273_Rodriguez_Rv1147-Rv1148c,153.5786346,173.3729136,194.8360366,170.9320377,408.1103019,229.1620569,68.15452194,39.7912563,92.60973103,78.80654019,88.34715398,150.6860297
IGR274_Rodriguez_Rv1147-Rv1148c,4.016303092,6.943206942,1.209376918,1.78414808,17.63588289,4.239835552,1.668378871,3.542875976,1.747189407,1.560294974,0.444589103,5.451919682
Miotto_candidate_158,0,0,0,0,0,0,0,0,0,0,0,0
Rv1148c,24.70105775,25.71558127,18.74242102,21.2373955,40.47892158,30.47765846,27.00033439,20.96629503,7.754032213,6.435005359,10.02580644,25.93073788
Rv1149,107.6455139,124.2062575,62.57932717,57.24141755,136.1901605,61.10351237,51.9242032,43.21787679,26.37913418,27.76407233,29.79400797,83.57180625
Rv1150,0.055561505,0,0.30672603,0.135750397,0.136460406,0,0.042313957,0.044927775,0,0,0.033827432,0
